anmerkung_gedruckt_von;anmerkung_Drucker;Drucker;gnd_Drucker;tw_id;ISNI;IDD
null;null;Mathias van der Goes;138825602;null;null;IDD-041
null;null;Richard Pynson;11879373X;null;null;IDD-042
null;null;Jan Pekk;null;null;null;IDD-043
null;null;Gregor Bartholomaeus;1037506529;null;null;IDD-044
null;null;Adam Petri de Langendorff;119784998;null;null;IDD-045
null;null;Adam Petri de Langendorff;119784998;null;null;IDD-046
null;null;Hermann Gutschaiff;1037540719;null;null;IDD-047
null;null;Silvan Otmar;129241172;null;null;IDD-048
null;null;Silvan Otmar;129241172;null;null;IDD-049
null;null;Servas Kruffter;136552234;null;null;IDD-050
durch verlegung des Georg Diemar (heirs of) von Johann Otmar (USTC);null;Georg Diemar (Erben);1100695850 (Georg Diemar);null;null;IDD-051
durch verlegung des Georg Diemar (heirs of) von Johann Otmar (USTC);null;Johann Otmar;115858679;null;null;IDD-051
;null;Heinrich Quentel (Erben);102359229;null;null;IDD-052
null;null;Friedrich Peypus;129085154;null;null;IDD-053
null;null;Heinrich von Neuss;136407978;null;null;IDD-054
null;null;Johann Grüninger;118698451;null;null;IDD-055
null;null;Johann Grüninger;118698451;null;null;IDD-056
null;null;Sodalitas Celtica;6146018-7;null;null;IDD-057
null;null;Johann Schönsperger d. J.;119539101;null;null;IDD-058
null;null;Johann Schönsperger d. J.;119539101;null;null;IDD-059
null;null;Johann Schönsperger d. J.;119539101;null;null;IDD-060
in edibus Silvan Otmar impensis Johannes von Regensburg Wagner (USTC);Finanzier;Johannes von Regensburg Wagner;119756706;null;null;IDD-061
in edibus Silvan Otmar impensis Johannes von Regensburg Wagner (USTC);null;Silvan Otmar;129241172;null;null;IDD-061
null;null;Heinrich von Neuss;136407978;null;null;IDD-062
null;null;Heinrich Quentell;102359229;null;null;IDD-063
null;null;Beatus Murner;102843422;null;null;IDD-064
null;null;Hans Dorn;122105214;null;null;IDD-065
null;null;Johannes Landen;118884719;null;null;IDD-066
null;null;Amandus Farckall;(1) 118698451. (2) 119669226;null;null;IDD-067
null;null;Wolfgang Huber;1037541200;null;null;IDD-068
null;null;Martin von Werden;13736170X;null;null;IDD-069
null;null;Jobst Gutknecht;106388606;null;null;IDD-070
null;null;Johann Hanau;136951112;null;null;IDD-071
null;null;Johann Hanau;136951112;null;null;IDD-072
null;null;Johann Hanau;136951112;null;null;IDD-073
null;null;Martin Flach;129803227;null;null;IDD-074
null;null;Cornelius von Zierickzee;137834020;null;null;IDD-075
null;null;Cornelius von Zierickzee;137834020;null;null;IDD-076
null;null;Cornelius von Zierickzee;137834020;null;null;IDD-077
null;null;Cornelius von Zierickzee;137834020;null;null;IDD-078
impensis atque ere Johann Rynmann, Hagenau cura et opera Heinrich Gran (USTC);null;Heinrich Gran;13764390X;null;null;IDD-079
impensis atque ere Johann Rynmann, Hagenau cura et opera Heinrich Gran (USTC);null;Johann Rynmann, Hagenau;12285487X;null;null;IDD-079
null;null;Thomas Anshelm;123978386;null;null;IDD-080
null;null;Hieronymus Höltzel;131671308;null;null;IDD-081
null;null;Pamphilus Gengenbach;11853842X;null;null;IDD-082
null;null;Hans Hager;1089171536;null;null;IDD-083
null;null;Michel Buchfürer;118796712;null;null;IDD-084
null;null;Amandus Farckall;119669226;null;null;IDD-085
null;null;Matthias Schürer;104302844;null;null;IDD-086
null;null;Matthias Schürer;104302844;null;null;IDD-087
null;null;Hans Schobser;118609874;null;null;IDD-088
null;null;Hieronymus Höltzel;131671308;null;null;IDD-089
null;null;Matthias Hupfuff;13352583X;null;null;IDD-090
null;null;Johannes Landen;118884719;null;null;IDD-091
null;null;Johannes Schöffer;118795287;null;null;IDD-092
null;null;Martin Landsberg;104296801;null;null;IDD-093
null;null;Martin Landsberg;104296801;null;null;IDD-094
Hagenau, typis ac formulis Thomas Anshelm, Nürnberg, sumptibus Johann Koberger (USTC;null;Johann Koberger;118698451;null;null;IDD-095
Hagenau, typis ac formulis Thomas Anshelm, Nürnberg, sumptibus Johann Koberger (USTC;null;Thomas Anshelm;123978386;null;null;IDD-095
null;null;Beatus Murner;102843422;null;null;IDD-096
null;null;Beatus Murner;102843422;null;null;IDD-097
null;null;Johannes Schöffer;118795287;null;null;IDD-098
null;null;Adam Petri de Langendorff;119784998;null;null;IDD-099
null;Verleger;Ludwig Hornken;137636229;null;null;IDD-099
null;null;Hans von Erfurt;132983508;null;null;IDD-100
null;null;Hans Schobsten;118609874;null;null;IDD-101
null;null;Heinrich von Neuss;136407978;null;null;IDD-102
null;null;Johannes Landen;118884719;null;null;IDD-103
null;null;Erhard Oeglin;13056267X;null;null;IDD-104
null;null;Heinrich von Neuss;136407978;null;null;IDD-105
null;null;Johann Froschauer;131600680;null;null;IDD-106
null;null;Johannes Landen;118884719;null;null;IDD-107
null;null;Jörg Nadler;1037536681;null;null;IDD-108
null;null;Johannes Landen;118884719;null;null;IDD-109
null;null;Johannes Weissenburger;122900987;null;null;IDD-110
null;null;Heinrich von Neuss;136407978;null;null;IDD-111
null;null;Johannes Landen;118884719;null;null;IDD-112
null;null;Johannes Weissenburger;122900987;null;null;IDD-113
null;null;Jacobus Thanner;120963884;null;null;IDD-114
null;null;Balthasar Murrer;1037540581;null;null;IDD-115
null;null;Nikolaus Lamparter;1037539915;null;null;IDD-115
null;null;Heinrich von Neuss;136407978;null;null;IDD-116
null;null;Johannes Weissenburger;122900987;null;null;IDD-117
null;null;Johannes Weissenburger;122900987;null;null;IDD-118
null;null;Johannes Weissenburger;122900987;null;null;IDD-119
null;null;Melchior Lotter d. Ä.;119747162;null;0000 0001 2022 1845;IDD-120
null;null;Johannes Landen;118884719;null;null;IDD-121
null;null;Johann Grüninger;118698451;null;null;IDD-122
per;null;Giorgio Rusconi;null;null;0000 0000 7738 6539;IDD-123
apud Johannes Herwagen (I);null;Johannes Herwagen;119707950;null;null;IDD-123
Petri, Joh., Amerbach, Joh. und Froben, Joh. (VD16);null;Johann Amerbach;123073189;null;null;IDD-124
Joh. Petri, Joh. Froben (USTC);null;Johann Froben;118955179;null;null;IDD-124
Joh. Petri, Joh. Froben (USTC);null;Johann Petri;123250889;null;null;IDD-124
null;null;Conrad Hist;129032050;null;null;IDD-125
null;null;Martin von Werden;13736170X;null;null;IDD-126
null;null;Martin von Werden;13736170X;null;null;IDD-127
null;null;Heinrich von Neuss;136407978;null;null;IDD-128
null;null;Heinrich von Neuss;136407978;null;null;IDD-129
null;null;Johann Stuchs;13194553X;null;null;IDD-130
null;null;Johann Otmar;115858679;null;null;IDD-131
null;null;Johann Otmar;115858679;null;null;IDD-132
null;null;Johann Miller;119762404;null;null;IDD-133
null;null;Heinrich von Augsburg Steiner;119838451;null;null;IDD-134
null;null;Johannes Weissenburger;122900987;null;null;IDD-135
null;null;Matthias Hupfuff;13352583X;null;null;IDD-136
