anmerkung_gedruckt_von;anmerkung_Drucker;Drucker;gnd_Drucker;tw_id;ISNI;IDD
null;null;Stephan Plannck;101669968;null;null;IDD-330
null;null;Johannes de Renno;1172234981;null;null;IDD-331
null;null;Johannes Philippus de Lignamine;115360026;null;null;IDD-332
null;null;Bartholomaeus de Valdezoccho;103765692X;null;null;IDD-333
null;null;Eucharius Silber;129070149;null;null;IDD-335
null;null;Johannes de Renno;1172234981;null;null;IDD-337
null;null;Albertus de Stendal;1032262435;null;null;IDD-338
Bonetus Locatellus, for Octavianus Scotus (USTC);null;Bonetus Locatellus;1037496906;null;null;IDD-339
Bonetus Locatellus, for Octavianus Scotus (USTC); Verleger;Octavianus Scotus;104090030;null;null;IDD-339
null;null;Bernardinus Rizus, Novariensis;1037620623;null;null;IDD-340
Johannes Herbort, for Johannes de Colonia, Nicolaus Jenson, et socii (USTC;null;Johann Herbort;129031704;null;null;IDD-341
Johannes Herbort, for Johannes de Colonia, Nicolaus Jenson, et socii (USTC;Buchhändler und Verleger;Johann von Köln;129032921;null;null;IDD-341
null;Buchhändler und Verleger;Johann von Köln;129032921;null;null;IDD-342
null;null;Johannes Manthen;102547629;null;null;IDD-342
null;null;Drucker des Duns Scotus, Quaestiones (GW 9080);null;null;null;IDD-343
null;null;Vindelinus de Spira;1089721781;null;null;IDD-344
null;null;Antoine Denidel;1237890829;null;null;IDD-345
null;null;Robert Gourmont;1171273118;null;null;IDD-345
null;null;Simon Bevilaqua;128983388;null;null;IDD-346
null;null;Leonardus Achates de Basilea;138093555;null;null;IDD-347
null;null;Gregorius de Gregoriis;120750678;null;null;IDD-348
null;null;Manfredus de Bonellis de Monteferrato;1037617010;null;null;IDD-349
null;null;Gregorius de Gregoriis;120750678;null;null;IDD-350
null;null;Johannes de Gregoriis;129998311;null;null;IDD-350
null;null;Baptista de Tortis;134140680;null;null;IDD-351
Apud Sanctum Jacobum de Ripoli (GW, ISTC, USTC) für Giovanni di Nato und Piero Pacini (GW);null;Giovanni di Nato ;null;null;null;IDD-352
Apud Sanctum Jacobum de Ripoli (GW, ISTC, USTC) für Giovanni di Nato und Piero Pacini (GW);Drucker und Verleger;Piero Pacini;103756779X;null;null;IDD-352
Apud Sanctum Jacobum de Ripoli (GW, ISTC, USTC) für Giovanni di Nato und Piero Pacini (GW);null;Apud Sanctum Jacobum de Ripoli;null;null;null;IDD-352
null;null;Antonius de Strata de Cremona;1037574524;null;null;IDD-353
null;null;Johannes de Renno;1172234981;null;null;IDD-354
null;null;Antonius Zarotus;133182452;null;null;IDD-355
null;null;Balthasar Azoguidus;144056321;null;null;IDD-356
null;null;Petrus Adam de Michaelibus;null;of1254;null;IDD-357
null;null;Christophorus Valdarfer;137784996;null;null;IDD-358
null;null;Drucker von Terentius, Comoediae (Pr 6748);null;null;null;IDD-359
null;null;Stephan Plannck;101669968;null;null;IDD-360
(ISTC, USTC);null;Bartholomäus Guldinbeck;14382824X;null;null;IDD-361
(GW, ISTC);null;Johann Besicken;134019652;null;null;IDD-361
null;null;Stephan Plannck;101669968;null;null;IDD-362
null;null;Hermannus Liechtenstein;136671861;null;null;IDD-363
?;null;Bernardinus Benalis;128981180;null;null;IDD-365
null;null;Johannes Petri;1037553020;null;null;IDD-366
null;null;Lorenzo Morgiani;1071997122;null;null;IDD-366
null;null;Henricus de Colonia;133668096;null;null;IDD-367
null;null;Franciscus de Cennis;1172038414;null;null;IDD-368
null;null;Johannes Petri;1037553020;null;null;IDD-369
null;null;Lorenzo Morgiani;1071997122;null;null;IDD-369
null;null;Johann Emerich;134148231;null;null;IDD-370
null;Verleger;Lucantonio Giunta;103754479X;null;null;IDD-370
(ISTC, USTC);null;"Drucker von ""Expositio Psalmorum""";null;null;null;IDD-371
(GW);null;Ludovicus und Albertus Pedemontanus;null;null;null;IDD-371
null;null;Bonetus Locatellus;1037496906;null;null;IDD-372
null;null;Franz Renner;138332290;null;null;IDD-373
null;null;Johann Herbort;129031704;null;null;IDD-374
Paganinus de Paganinis;null;Bernardinus Benalis;128981180;null;null;IDD-375
Z.L. (i.e. Giovanni Lionardo Longo);null;Giovanni Lionardo Longo;null;pe0208100;null;IDD-376
null;null;Heinrich von Neuss;136407978;null;null;IDD-377
Beat(us) murner võ Strasbourg;null;Beatus Murner;102843422;null;null;IDD-378
null;null;Matthias Schürer (Erben);6146044-8;null;null;IDD-379
null;null;Martin Landsberg;104296801;null;null;IDD-380
Alonso Fernández de Córdoba et Gabriel Luis de Arinyo (USTC);null;Alfonso Fernández de Córdoba;1078509042;null;null;IDD-382
Alonso Fernández de Córdoba et Gabriel Luis de Arinyo (USTC);null;Gabriel Luis de Arinyo;null;pe0116800;0000 0001 1907 2424;IDD-382
null;null;Erhard Oeglin;13056267X;null;null;IDD-383
null;null;Johannes Landen;118884719;null;null;IDD-384
null;null;Paul Hurus;136216013;null;null;IDD-385
null;null;Paul Hurus;136216013;null;null;IDD-386
null;null;Eberhard Schön;null;null;null;IDD-387
null;null;Leonhard Aurl;1037618025;null;null;IDD-392
null;null;Friedrich Creussner;135725259;null;null;IDD-393
null;null;Bonetus Locatelus;1037496906;null;null;IDD-398
null;null;Johannes Landen;118884719;null;null;IDD-403
null;null;Lucas Cranach d. Ä.;118522582;null;0000 0001 2131 9721;IDD-404
null;null;Lucas Cranach d. Ä.;118522582;null;0000 0001 2131 9721;IDD-405
null;null;Hans Wandereisen;131659448;null;null;IDD-406
null;null;Hans Weidnitz;118806491;null;0000 0004 3506 7555;IDD-407
null;null;Ulrich Zell;11907155X;null;(1) 0000 0003 9705 9940. (2) 0000 0000 6423 5686;IDD-411
null;null;Jost de Negker;122072766;null;0000 0004 2338 5409;IDD-412
null;null;Jost de Negker;122072766;null;0000 0004 2338 5409;IDD-413
