IDD;anmerkung;Druckort;gnd_Ort;Land;gnd_Land
IDD-370;null;Venedig;4062501-1;Italien;XA-IT
IDD-371;null;Mailand;4037100-1;Italien;XA-IT
IDD-372;null;Venedig;4062501-1;Italien;XA-IT
IDD-373;null;Venedig;4062501-1;Italien;XA-IT
IDD-374;null;Venedig;4062501-1;Italien;XA-IT
IDD-375;null;Venedig;4062501-1;Italien;XA-IT
IDD-376;null;Trient;4078405-8;Italien, Trentino-Südtirol;XA-IT-32
IDD-377;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW
IDD-378;null;Frankfurt (Main);4018118-2;Deutschland, Hessen;XA-DE-HE
IDD-379;null;Strassburg;4057878-1;Frankreich;XA-FR
IDD-380;null;Leipzig;4035206-7;Deutschland, Sachsen-Anhalt;XA-DE-SN
IDD-382;null;Valencia;4062284-8;Spanien;XA-ES
IDD-383;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY
IDD-384;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW
IDD-385;null;Zaragoza;4079463-5;Spanien;XA-ES
IDD-385;null;Zaragoza;4079463-5;Spanien;XA-ES
IDD-386;null;Zaragoza;4079463-5;Spanien;XA-ES
IDD-386;null;Zaragoza;4079463-5;Spanien;XA-ES
IDD-387;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY
IDD-390;null;Ulm;4061529-7;Deutschland, Baden-Württemberg;XA-DE-BW
IDD-391;null;Oberdeutschland;4295365-0;Deutschland;XA-DE
IDD-392;null;Venedig;4062501-1;Italien;XA-IT
IDD-393;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY
IDD-394;null;Mähren;4074432-2;Tschechischen, Mähren;XA-BE
IDD-395;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY
IDD-396;null;Florenz;4017581-9;Italien;XA-IT
IDD-397;null;Memmingen;4038586-3;Deutschland, Bayern;XA-DE-BY
IDD-398;null;Venedig;4062501-1;Italien;XA-IT
IDD-401;null;null;null;Niederlande;XA-NL
IDD-403;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW
IDD-404;null;Weimar;4065105-8;Deutschland, Thüringen;XA-DE-TH
IDD-406;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY
IDD-407;null;Strassburg;4057878-1;Frankreich;XA-FR
IDD-408;null;Bologna;4007616-7;Italien;XA-IT
IDD-411;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW
IDD-412;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY
IDD-413;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY
