IDD;anmerkung;Drucker;GND_Drucker;ISNI
IDD-092;null;Johannes Schöffer;118795287;null
IDD-093;null;Martin Landsberg;104296801;null
IDD-094;null;Martin Landsberg;104296801;null
IDD-095;null;Johann Koberger;118698451;null
IDD-095;null;Thomas Anshelm;123978386;null
IDD-096;null;Beatus Murner;102843422;null
IDD-097;null;Beatus Murner;102843422;null
IDD-098;null;Johannes Schöffer;118795287;null
IDD-099;null;Adam Petri de Langendorff;119784998;null
IDD-099;null;Ludwig Hornken (Verleger);137636229;null
IDD-100;null;Hans von Erfurt;132983508;null
IDD-101;null;Hans Schobsten;118609874;null
IDD-102;null;Heinrich von Neuss;136407978;null
IDD-103;null;Johannes Landen;118884719;null
IDD-104;null;Erhard Oeglin;13056267X;null
IDD-105;null;Heinrich von Neuss;136407978;null
IDD-106;null;Johann Froschauer;131600680;null
IDD-107;null;Johannes Landen;118884719;null
IDD-108;null;Jörg Nadler;1037536681;null
IDD-109;null;Johannes Landen;118884719;null
IDD-110;null;Johannes Weissenburger;122900987;null
IDD-111;null;Heinrich von Neuss;136407978;null
IDD-112;null;Johannes Landen;118884719;null
IDD-113;null;Johannes Weissenburger;122900987;null
IDD-114;null;Jacobus Thanner;120963884;null
IDD-115;null;Balthasar Murrer;1037540581;null
IDD-115;null;Nikolaus Lamparter;1037539915;null
IDD-116;null;Heinrich von Neuss;136407978;null
IDD-117;null;Johannes Weissenburger;122900987;null
IDD-118;null;Johannes Weissenburger;122900987;null
IDD-119;null;Johannes Weissenburger;122900987;null
IDD-120;null;Melchior Lotter d. Ä.;(1) 119747189. (2) 119747162;null
IDD-121;null;Johannes Landen;118884719;null
IDD-122;null;Johann Grüninger;118698451;null
IDD-123;per;Giorgio Rusconi;null;null
IDD-123;apud Johannes Herwagen (I);Johannes Herwagen;119707950;null
IDD-124;null;Johann Amerbach;123073189;null
IDD-124;null;Johann Froben;118955179;null
IDD-124;null;Johann Petri;123250889;null
IDD-125;null;Conrad Hist;129032050;null
IDD-125;null;Martin von Werden;13736170X;null
IDD-126;null;Conrad Hist;129032050;null
IDD-126;null;Martin von Werden;13736170X;null
IDD-127;null;Martin von Werden;13736170X;null
IDD-128;null;Heinrich von Neuss;136407978;null
IDD-129;null;Heinrich von Neuss;136407978;null
IDD-130;null;Johann Stuchs;13194553X;null
IDD-131;null;Johann Otmar;115858679;null
IDD-132;null;Johann Otmar;115858679;null
IDD-133;null;Johann Miller;119762404;null
IDD-134;null;Heinrich von Augsburg Steiner;119838451;null
IDD-135;null;Johannes Weissenburger;122900987;null
IDD-136;null;Matthias Hupfuff;13352583X;null
IDD-137;null;Silvan Otmar;129241172;null
IDD-138;null;Erhard Oeglin;13056267X;null
IDD-139;Johann Knobloch (I);Johannes Herwagen;119707950;null
IDD-140;null;Johann Froben;118955179;null
IDD-140;null;Johann Petri;123250889;null
IDD-141;null;Johann Amerbach;123073189;null
IDD-141;null;Johann Froben;118955179;null
IDD-141;null;Johann Petri;123250889;null
IDD-142;null;Anton Koberger;118563890;null
IDD-143;null;Anton Koberger;118563890;null
IDD-144;null;Johann Grüninger;118698451;null
IDD-145;null;Anton Koberger;118563890;null
IDD-146;null;Anton Koberger;118563890;null
IDD-147;null;Konrad Kachelofen;(1) 137785410. (2) 1072885786;null
IDD-148;null;Konrad Kachelofen;(1) 137785410. (2) 1072885786;null
IDD-149;null;Melchior Lotter d. Ä.;(1) 119747189. (2) 119747162;null
IDD-150;null;Cornelius von Zierickzee;137834020;null
IDD-151;null;Friedrich Creussner;135725259;null
IDD-152;null;Friedrich Creussner;135725259;null
IDD-153;null;Lucas Brandis;102429642;null
IDD-154;null;Peter Wagner;188351264;null
IDD-155;null;Friedrich Creussner;135725259;null
IDD-156;null;Johann Mentelin;118783319;null
IDD-157;null;Bernhard Richel;136009115;null
IDD-158;null;Anton Koberger;118563890;null
IDD-159;null;Anton Koberger;118563890;null
IDD-160;null;Drucker des Henricus Ariminensis (Georg Reyser?);null;null
IDD-161;null;Johann Amerbach;123073189;null
IDD-162;null;Ulrich Zel;11907155X;null
IDD-163;null;Johann Amerbach;123073189;null
IDD-164;null;Nicolaus Kesler;137735677;null
IDD-165;null;Friedrich Creussner;135725259;null
IDD-166;null;Johann Koelhoff d.Ä.;102507554;null
IDD-167;null;Jacobus Thanner;120963884;null
IDD-168;null;Johann Zainer d.Ä.;118643479;null
IDD-169;null;Anton Sorg;12146556X;null
IDD-170;null;Johann Pfeyl;13644881X;null
IDD-171;null;C.W.;null;null
IDD-172;null;Anton Koberger;118563890;null
IDD-173;null;Anton Koberger;118563890;null
IDD-174;null;Hans Folz;118534211;null
IDD-175;null;Hans Folz;118534211;null
IDD-175;null;Peter Wagner;188351264;null
IDD-176;null;Hans Folz;118534211;null
IDD-176;null;Peter Wagner;188351264;null
IDD-177;null;Hans Mair;null;null
IDD-178;null;Hans Mair;null;null
IDD-179;null;Hans Mair;null;null
IDD-180;null;Konrad Kachelofen;(1) 137785410. (2) 1072885786;null
IDD-181;null;Johann Koelhoff d.Ä.;102507554;null
IDD-182;null;Martin Flach;129803227;null
IDD-183;null;Georg Stuchs;104175265;null
IDD-184;null;Günther Zainer;118636111;null
IDD-185;null;Georg Stuchs;104175265;null
IDD-186;null;Nicolaus Götz?;134099273;null
IDD-187;null;Georg Husner;136216064;null
IDD-188;null;Johann Otmar;115858679;null
IDD-188;null;Michael Greyff;136138195;null
IDD-189;null;Jacob Eber;13573004X;null
IDD-190;null;Johann Amerbach;123073189;null
IDD-191;null;Johann Prüss;135917018;null
IDD-192;null;Hermann Bumgart;136605486;null
IDD-193;null;Johann Koelhoff d. Ä.;102507554;null
IDD-194;Drucker der 1483 Jordanus de Quedlinburg (= Georg Husner);Georg Husner;136216064;null
IDD-195;null;Konrad Fyner;116879335;null
IDD-196;null;Konrad Fyner;116879335;null
IDD-197;?;Kaspar Hochfeder;119338297;null
IDD-198;null;Johann Froschauer;131600680;null
IDD-199;null;Johann Mentlin;118783319;null
IDD-200;null;Johann Mentlin;118783319;null
IDD-201;null;Peter Schöffer;118795295;null
IDD-202;null;Matthias Hupfuff;13352583X;null
IDD-203;null;Heinrich Quentel;102359229;null
IDD-203;null;Heinrich Quentell;102359229;null
IDD-203;null;Ulrich Zell;11907155X;null
IDD-204;null;Heinrich Quentell;102359229;null
IDD-205;null;Caspar Hochfeder;119338297;null
IDD-206;null;Heinrich Quentel;102359229;null
IDD-207;null;Jodocus Pflanzmann;10241498X;null
IDD-208;null;Caspar Hochfeder;119338297;null
IDD-209;null;Drucker der 'Darmstadt' Prognostication;null;null
IDD-210;null;Drucker der 'Darmstadt' Prognostication;null;null
IDD-211;null;Johann Zainer d.Ä.;118643479;null
IDD-212;null;Heinrich Petzensteiner;102952372X;null
IDD-212;null;Johann Pfeyl;13644881X;null
IDD-213;null;Simon Koch (Mentzer);136109640;null
IDD-214;null;Jacobus Wolff de Pforzheim;1012373568;null
IDD-215;?;Ludwig von Renchen;119097958;null
IDD-216;null;Simon Koch (Mentzer);136109640;null
IDD-217;null;Simon Koch (Mentzer);136109640;null
IDD-218;null;Matthaeus Brandis;135556686;null
IDD-219;null;Arnold von Köln;1037658841;null
IDD-220;null;Heinrich Quentell;102359229;null
IDD-221;null;Peter Attendorn;128973706;null
IDD-222;null;Cornelius von Zierickzee;137834020;null
IDD-223;null;Drucker von Augustinus, Explanatio psalmorum (GW2908);null;null
IDD-223;null;Vindelinus de Spira;1089721781;null
IDD-223;null;Wilhelmus Hees;1037570529;null
IDD-224;null;Michael Wenssler;134121260;null
IDD-225;null;Martin Flach;129803227;null
IDD-226;null;Jacob Eber;13573004X;null
IDD-227;null;Arnold Ther Hoernen;137661495;null
IDD-228;null;Johann Zainer d.Ä.;118643479;null
IDD-229;null;Johann Zainer d.Ä.;118643479;null
IDD-230;null;Johann Zainer d.Ä.;118643479;null
IDD-231;null;Johann Zainer d.Ä.;118643479;null
IDD-232;null;Anton Sorg;12146556X;null
IDD-233;Drucker des Salomon et Marcolphus (Ludwig von Renchen?);Ludwig von Renchen;119097958;null
IDD-234;null;Kloster Sankt Ulrich und Afra;(tw-Identifier: of0818);null
IDD-235;null;Friedrich Creussner;135725259;null
IDD-235;null;Nicolas Jenson (Drucker und Verleger);118917153;null
IDD-236;null;Günther Zainer;118636111;null
IDD-237;null;Friedrich Creussner;135725259;null
IDD-238;null;Peter Drach;124571905 ?;null
IDD-239;null;Dürer-Schule;null;null
IDD-240;null;Hans Guldenmund;123253705;null
IDD-241;null;Guillaume Balsarin;103757270X;null
IDD-242;null;Janon Carcain;1199865656;null
IDD-243;null;André Bocard;1037573307;null
IDD-243;null;Durand Gerlier (Verleger und Buchhändler);1037571010;null
IDD-243;null;Jean Petit (Buchhändler);(1) 103753445X oder (2) 1037534433;null
IDD-243;null;Jean Richard (Verleger);1172238073;null
IDD-244;null;Jean Du Pré;103757382X;null
IDD-245;null;Paul Hurus;136216013;null
IDD-246;null;Paul Hurus;136216013;null
IDD-247;null;Meinhard Ungut;133669548;null
IDD-247;null;Stanislaus Polonus;13046581X;null
IDD-248;null;Drucker von Rolewinck, 'Fasciculus temporum' (Jean Belot) (H 6943);null;null
IDD-248;null;Pierre Le Dru;1075214270;null
IDD-249;null;Fadrique de Basilea (Friedrich Biel);135660467;null
IDD-250;null;Georg Mittelhus;137197845;null
IDD-251;für;Antoine Vérard;118804162;null
IDD-252;null;Jean de Romoys;(https://france1501to1520.djshaw.co.uk/index.php?title=Jean_de_Romoys);null
IDD-253;null;Guillaume Desplains;null;null
IDD-253;null;Guillaume Eustace (Drucker und Verleger);null;0000 0000 7783 2834
IDD-253;null;Jean Morand;1145078990;null
IDD-253;null;Raoul Couturier;null;null
IDD-254;null;Witwe von Michel Le Noir (GND 103762839X);null;null
IDD-255;per;Simone da Lovere;1037601408;null
IDD-256;GND ? unklar;sumptibus Comino da Lovere;1037601408;null
IDD-257;null;Giacomo Pocatela;1037557301;null
IDD-258;null;Marcello Silber;138452873;null
IDD-260;per;Agostino Zani;1037556194;null
IDD-261;(nelle case haer. Aldo I Manuzio & Andrea I Torresano);Aldo I Manuzio;118577387;null
IDD-261;(nelle case haer. Aldo I Manuzio & Andrea I Torresano);Andreas Torresanus;120730030;null
IDD-262;per;Bartolomeo Zani;103757317X;null
IDD-263;null;Gregorius de Gregoriis;120750678;null
IDD-264;per Filippo I Giunta;Filippo Giunta I (Erben);6145361-4;null
IDD-265;null;Gregorius de Gregoriis;120750678;null
IDD-266;per;Bernardino I Viani;null;null
IDD-267;per Giovanni Antonio Nicolini da Sabbio & fratres;Giovanni Antonio Nicolini da Sabbio;1037557832;null
IDD-268;per haer. Filippo I Giunta;Filippo Giunta I (Erben);6145361-4;null
IDD-269;haer. Filippo I Giunta;Filippo Giunta I (Erben);6145361-4;null
