IDD,Verfasser,GND_Verfasser,Ttitel
IDD-285,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,(1) Relatio de Simone puero tridentino (ISTC) (2) De Simone puero tridentino (GW)
IDD-286,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,(1) Relatio de Simone puero tridentino (ISTC) (2) De Simone puero tridentino (GW)
IDD-287,"Johannes Matthias Tuberinus (GW), Johannes Mathias Tuberinus (ISTC)",104366281,(1) Relatio de Simone puero tridentino (ISTC) (2) De Simone puero tridentino (GW)
IDD-288,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,(1) Relatio de Simone puero tridentino (ISTC) (2) De Simone puero tridentino (GW)
IDD-289,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,(1) Relatio de Simone puero tridentino (ISTC) (2) De Simone puero tridentino (GW)
IDD-290,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,(1) Relatio de Simone puero tridentino (ISTC) (2) De Simone puero tridentino (GW)
IDD-291,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,Historia completa de passione et obitu pueri Simonis. Miracula beati Simonis. Lamentationes beati Simonis ('Sum puer ille Simon')
IDD-292,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,(1) Epitaphium S. Simonis Tridentini (GW) (2) Epitaphium gloriosi pueri Simonis Tridentini novi martyris (Lamentationes beati Simonis ('Sum puer ille Simon')) (ISTC)
IDD-293,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,Epigrammata aliaque carmina in beatum Simonem (Lamentationes beati Simonis ('Sum puer ille Simon') etc)
IDD-294,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-295,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-296,Sylvester de Balneoregio,12907019X,Conclusiones cum earum declarationibus super canonizatione Simonis Tridentini
IDD-297,"Giorgio Sommariva, Georgius Summaripak",124959409X,"Martirio di Simone da Trento. Add: Girolamo Campagnola, Leonardo Montagna, Martirio di Simone da Trento"
IDD-297,Girolamo Campagnola,128867574,Martirio di Simone da Trento
IDD-297,Leonardo Montagna,1020861827,Martirio di Simone da Trento
IDD-298,"Giorgio Sommariva, Georgius Summaripak",124959409X,Martyrium Sebastiani (i.e. Simonis Pueri) novelli trucidati a Judaeis cum processu Tridenti acto (Italian verse)
IDD-299,"Giorgio Sommariva, Georgius Summaripak",124959409X,Martyrium Sebastiani (i.e. Simonis Pueri) novelli trucidati a Judaeis cum processu Tridenti acto (Italian verse)
IDD-300,null,null,Tormenti del Beato Simone da Trento
IDD-301,null,null,Carmina de martyrio eius et contra Judaeos
IDD-302,null,null,Historia S. Simonis Tridentini
IDD-303,null,null,Historia S. Simonis Tridentini
IDD-304,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-305,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-306,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-307,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-308,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-309,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-310,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-311,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-312,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-313,"Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi",119105144,Scrutinium scripturarum
